"Арт №";"Наименование позиции";"Цена, грн";Ед.
93222;"AvanTech YOU Боковина H=187, L=650мм, белый, правая (9255141) Hettich";"663 грн.";шт
93259;"AvanTech YOU Боковина H=187, L=300мм, антрацит, правая (9255207) Hettich";"572,82 грн.";шт
93281;"Actro YOU Механизм Push to open Silent слабый (9257891) Hettich";"1204,98 грн.";шт
93295;"AvanTech YOU Боковина H=187, L=350мм, антрацит, правая (9255209) Hettich";"583,32 грн.";шт
93303;"AvanTech YOU Боковина H=187, L=500мм, антрацит, правая (9255215) Hettich";"614,94 грн.";шт
93319;"AvanTech YOU дизайн-профиль L=400мм, серебро (9255807) Hettich";"18,6 грн.";шт
93333;"AvanTech YOU дизайн-профиль L=350мм, белый (9255815) Hettich";"18,24 грн.";шт
93342;"AvanTech YOU дизайн-профиль L=300мм, антрацит (9255823) Hettich";"17,94 грн.";шт
93352;"AvanTech YOU дизайн-профиль L=500мм, антрацит (9255827) Hettich";"19,26 грн.";шт
93360;"AvanTech YOU Боковина H=251, L=450мм, серебро, правая (9255071) Hettich";"951,54 грн.";шт
93369;"AvanTech YOU Боковина H=251, L=600мм, серебро, левая (9255076) Hettich";"1009,74 грн.";шт
93377;"AvanTech YOU заглушка лицевой панели внутреннего ящика H=101, серебро (9257629) Hettich";"6,96 грн.";шт
93385;"AvanTech YOU комплект адаптеров лицевой панели стекло вн. ящика H=187, антрацит (9257653) Hettich";"948,6 грн.";шт
93393;"AvanTech YOU заглушка белая (9257704) Hettich";"9,6 грн.";шт
93402;"AvanTech YOU Боковина H=251, L=500мм, белая, правая (9255153) Hettich";"968,1 грн.";шт
93411;"Направляющая Quadro YOU L=300мм (30 кг), правая (9256857) Hettich";"356,46 грн.";шт
93423;"Направляющая Quadro YOU L=400мм (30 кг), правая (9256865) Hettich";"371,88 грн.";шт
93432;"Направляющая Quadro YOU L=500мм (30 кг), правая (9256873) Hettich";"387,3 грн.";шт
93440;"AvanTech YOU Боковина H=251, L=550мм, антрацит, правая (9255235) Hettich";"984,72 грн.";шт
93495;"AvanTech YOU Боковина H=251, L=650мм, антрацит, правая (9255239) Hettich";"1043,76 грн.";шт
93504;"AvanTech YOU фиксатор внутреннего ящика антрацит (9257736) Hettich";"268,92 грн.";шт
94446;"Комплект ящика AvanTech YOU Q L=450 H=101 белый Hettich";"1911,79 грн.";к-т
94525;"Комплект ящика AvanTech YOU Q L=600 H=101 антрацит Hettich";"2005,14 грн.";к-т
94594;"Комплект ящика AvanTech YOU Q L=500 H=251 серебро Hettich";"3269,14 грн.";к-т
94617;"Комплект внутреннего ящика AvanTech YOU Q L=500 H=187 белый Hettich";"6702,8 грн.";к-т
94655;"Комплект внутреннего ящика AvanTech YOU Q L=500 H=187 Inlay (скло 130мм) серебро корпус 600мм";"7414,39 грн.";к-т
94671;"Комплект внутреннего ящика AvanTech YOU Q L=350 H=187 серебро Hettich";"6591,32 грн.";к-т
94682;"Комплект внутреннего ящика AvanTech YOU Q L=350 H=187 Inlay (скло 66мм) белый корпус 600мм";"6717,67 грн.";к-т
94692;"Комплект внутреннего ящика AvanTech YOU Q L=400 H=101 антрацит Hettich";"4688,75 грн.";к-т
94724;"Комплект ящика AvanTech YOU Q L=400 H=187 серебро Hettich";"2454,89 грн.";к-т
94735;"Комплект ящика AvanTech YOU Q L=400 H=187 Inlay (скло) белый Hettich";"3869,82 грн.";к-т
94762;"Комплект внутреннего ящика AvanTech YOU Q L=450 H=187 антрацит Hettich";"6665,64 грн.";к-т
94777;"Комплект внутреннего ящика AvanTech YOU Q L=450 H=187 Inlay (скло 130мм) серебро корпус 600мм";"7302,68 грн.";к-т
94790;"Комплект ящика AvanTech YOU Q L=450 H=251 белый Hettich";"3219,87 грн.";к-т
94868;"Комплект ящика AvanTech YOU Q L=550H=187 антрацит Hettich";"2565,86 грн.";к-т
94891;"Комплект внутреннего ящика AvanTech YOU Q L=550 H=187 Inlay (скло 66мм) серебро корпус 600мм";"7235,51 грн.";к-т
94948;"Комплект внутреннего ящика AvanTech YOU Q L=600 H=101 белый Hettich";"4810,41 грн.";к-т
94973;"Комплект внутреннего ящика AvanTech YOU Q L=600 H=187 Inlay (скло 130мм) антрацит корпус 600мм";"7794,46 грн.";к-т
94986;"Комплект ящика AvanTech YOU Q L=600 H=187 Inlay (скло) серебро Hettich";"4471,76 грн.";к-т
95079;"Комплект ящика AvanTech YOU A L=350 H=101 белый Hettich";"2057,75 грн.";к-т
95142;"Комплект внутреннего ящика AvanTech YOU A L=350 H=187 Inlay (скло 130мм) антрацит корпус 600мм";"7283,93 грн.";к-т
95171;"Комплект ящика AvanTech YOU A L=350H=187 Inlay (скло) серебро Hettich";"3961,74 грн.";к-т
